code,title,credit,description
NDT 112,Ultrasonic Testing Method Level I,3,"Description In this course, students will master the competencies associated with Ultrasonic"
NDT 113,Ultrasonic Testing Method Level II,3,"Description In this course, students will master the competencies associated with Ultrasonic"
NDT 114,Visual Inspection,2,"Description In this course, students will master the competencies associated with Visual"
NDT 117,Assembly Overview for NDT,3,Description This course is designed to provide the NDT student with the basic overview of
NDT 123,Advanced Ultrasonic Testing Methods,5,Description This course will provide students with basic knowledge and skills to utilize specific
NDT 145,Maintenance & Reliability,3,"Description Maintenance & Reliability is a class designed to introduce students to the theories,"
NDT 150,Vibration Analysis Level I,3,Description Provides an introduction to Vibration Analysis. The student focuses on learning
NDT 151,Vibration Analysis Level II,3,Description This course reviews and expands on the knowledge obtained in Vibration Analysis I.
NDT 152,Vibration Analysis Level III,3,Description This course is designed to provide the student with the ability to design or manage a
NDT 155,Thermography Level I,3,Description The course provides an introduction to the principles of Thermography and the
NDT 156,Thermography Level II,3,Description This course expands upon the topics covered in Thermography 1 and goes deeper
NDT 160,Acoustic Emission Testing Level I,3,Description In this course students will master the competencies associated with the Acoustic
NDT 165,Machine Lubrication and Analysis I,3,Description Machine lubrication and analysis I provides an introduction to machine lubrication
NDT 166,Machine Lubrication and Analysis II,3,Description Machine lubrication and analysis II provides a more in depth look at machine
NDT 167,Machine Lubrication and Analysis III,3,Description Machine lubrication and analysis III is designed to provide the student with the ability
NDT 170,Electrical Motor Testing,2,Description This course will teach students to use a PdMA MCEmax tester to evaluate the
OPM 100,Lean Sigma,3,Description This course will teach students the basics of both Lean and Six Sigma and how
OPM 105,Operations Management for Organizational Success,3,Description Operations Management introduces and applies the components of the continuous
OPM 110,Introduction to Supply Chain Management,3,Description Supply Chain Management introduces the building blocks of Supply Chain Strategy
OPM 115,Introduction to Project Management,3,Description This course focuses on a holistic approach to project management. The content
PCT 100,EKG for Healthcare Providers,4,Description Focuses on the specialized procedures associated with the cardiovascular system.
PCT 105,Dementia Care,4,Description Examines the types and causes of dementia and how they differ from symptoms of
PCT 110,Phlebotomy and Laboratory Procedures,4,Description This course addresses the role and function of the professional in the clinical
PDV 020,Employability Skills,,Description WSU Tech recognized the need to augment technical skills with highly valued
PDV 105,Blueprint for Personal Success,2,"Description The professional world is full of challenging situations, including conflicting"
PED 110,Lifetime Fitness,1,"Description Exposes students to facts about and experiences in dealing with motor, physical,"
PED 120,Introduction to the Athletic Training Profession,3,Description This course covers introductory principles relating to the profession of athletic
PHL 110,Ethics,3,"Description A practical approach to recognizing, understanding and solving ethical problems"
PHL 115,Logic,3,Description This course deals with the uses of logical concepts and techniques to evaluate and
PHR 105,Negotiations And Relationship Management,3,"Description This course is designed to help students understand the principles, strategies and"
PHS 110,Physical Science,5,Description A non-technical course intended for students who are majoring in fields other than
PHS 115,Introductory Astronomy,5,"Description Introduction to Astronomy topics include fundamental concepts (planetary, stellar,"
PHS 120,General Physics I,5,"Description Topics include mechanics — linear motion, rotational motion, force, work, energy,"
PHS 125,General Physics II,5,Description A continuation of PHS 120 General Physics I. Topics include electricity and
PLT 104,Introduction to Aviation,3,Description This course will expose the student to knowledge areas of emphasis pertaining to
PLT 108,Simulated Flight Lab I,1,Description This course provides the student the opportunity to gain familiarity with the FMS and
PLT 112,Private Pilot Flight Lab,2,Description This course will enable the student to develop the knowledge and skills required to
PLT 116,Aviation Weather,3,"Description This course entails the study of weather hazards, meteorological flight planning,"
PLT 120,Instrument Regulations and Procedures,3,"Description This course will provide the student with a detailed study of the regulations,"
PLT 124,Simulated Flight Lab II,1,Description This course provides the student the opportunity to rehearse aircraft control solely by
PLT 128,Basic Attitude Instrument Flying,2,Description This course will introduce the student to the skills required to fly the airplane solely
PLT 130,Aerodynamics and Aircraft Performance,2,Description In this course students will learn principles of airplane aerodynamics and aircraft
PLT 132,Aviation Safety and Human Factors,3,Description This course provides the student with a detailed introduction into aspects of aviation
PLT 134,Aircraft Systems for Pilots,2,"Description In this course students will learn the aircraft systems as they relate to reciprocating,"
PLT 136,Crew Resource Management,2,Description This course will provide the student the opportunity to explore the many issues
PLT 140,Avionics,2,Description This course provides the student an overview of the Garmin G1000 Glass cockpit
PLT 144,Introduction to Commercial Flight,3,Description This course provides the student exposure to the aeronautical knowledge areas
PLT 146,Air Traffic Control and Airspace,2,Description This course is designed to provide students with the information about the Air Traffic
PLT 148,Simulated Flight Lab III,1,Description This course allows the student to rehearse all required maneuvers defined by the
PLT 152,Commercial Flight I,3,Description This course will introduce the student to all commercial maneuvers and standards.
PLT 154,Aviation Law and Regulations,2,"Description In this course students will explore and apply the Federal Aviation Regulations,"
PLT 156,Multiengine Aircraft Operation,1,Description This course is designed to develop the knowledge and skills necessary to safely and
PLT 160,Multiengine Flight Lab,2,Description This course provides the practical experience necessary for the student to
PLT 164,Commercial Flight II,3,Description This course enables the student to complete all cross country and time requirements
PLT 168,Certified Flight Instruction,4,Description Provides the student with a detailed study of the responsibilities and teaching
PLT 172,Simulated Flight Lab IV,1,Description This course allows the student to practice and refine skills necessary to act as a
PLT 176,Certified Flight Instruction Lab,2,Description This course will provide practical teaching experience for the student during flight as
PLT 180,Gas Turbine Engine Systems,2,Description This course will provide an in-depth examination of the turbine engine through the
PNA 101,IV Therapy for LPN's,3,Description Prepares LPNs to perform activities as defined in KAR 60-16-102(b). Presents
PNA 105,Adult Learning Principles for Health Careers,2,Description This course will provide learners with basic adult learning principles utilized in
PNR 010,Nursing Recitation,,Description Provides homework help and tutoring services and connects practical nurse students
PNR 119,KSPN Fundamentals of Pharmacology and Safe Medication Administration,2,Description This course provides an introduction to the principles of pharmacology. Emphasis is
PNR 120,KSPN Foundations of Nursing,4,Description This course provides an introduction to practical nursing and roles of the practical
PNR 121,KSPN Foundations of Nursing Clinical,2,Description This course provides an introduction to the skills required to practice nursing. The
PNR 128,KSPN Nursing Care of Adults I,5,Description This course focuses on the care of adult clients experiencing common
PNR 129,KSPN Nursing Care of Adults I Clinical,3,Description This course focuses on the care of adult clients with common medical/surgical health
PNR 130,KSPN Maternal Child Nursing,2,"Description This course provides an integrative, family-centered approach to the care of"
PNR 131,KSPN Maternal Child Nursing Clinical,1,"Description This course provides an integrative, family-centered approach to the care of"
PNR 135,KSPN Mental Health Nursing,2,Description This course explores basic concepts and trends in mental health nursing.
PNR 136,Transition to Nursing,2,Description This course is designed to provide skills to enhance the success of the practical
PNR 138,KSPN Nursing Care of Adults II,5,Description This course focuses on the care of adult clients experiencing common
PNR 139,KSPN Nursing Care of Adults II Clinical,2,Description This course focuses on the care of adult clients with common medical/surgical health
PNR 141,KSPN Care of Aging Adults,2,Description This course is designed to explore issues related to the aging adults. Course content
PNR 166,"KSPN Leadership, Roles, and Issues",2,Description This course provides orientation to leadership roles of the LPN and related
PNR 170,Healthcare Practice Management,3,Description This course explores the overall perspective of health service organizations and the
PNR 175,Healthcare Management Research,4,"Description This course explores management issues, funding and actual provision of healthcare"
PNR 180,Healthcare Issues,3,Description This course explores current issues in healthcare and the impact of those issues on
POL 101,American Government,3,"Description A general study of the development, structure and functions of the American"
PSS 100,Six Sigma Yellow Belt,1,Description Six Sigma Yellow Belt training introduces the fundamentals of Six Sigma to individual
PSS 101,Six Sigma Green Belt Methods,3,Description This course is designed to help the adult learner understand Six Sigma concepts and
PSS 105,Six Sigma Green Belt Statistics,3,Description Students develop an in-depth understanding of how computers and statistical
PSS 115,Six Sigma Black Belt Methods,3,Description The Six Sigma Black Belt Methods incorporates data and statistical analysis into a
PSS 120,Six Sigma Black Belt Experimentation & Transfer Function,3,Description Students will learn how to manipulate data with statistical tools to transform it into
PST 010,Private Security Officer Training - Basic,,Description The Basic Private Security Officer Training (Basic PSOT) course is a 16 hour course
PST 110,Private Security Officer Training - Basic,3,Description The Basic Private Security Officer Training (Basic PSOT) course is a 45 hour course
PSY 101,General Psychology,3,Description A general introduction to the scientific study of behavior and mental processes to
PSY 110,Child Psychology,3,Description This course is a scientific study of child behavior and development from the prenatal
PSY 120,Developmental Psychology,3,Description A study of individual development from conception through death to enable students
PSY 135,Social Science Prospectus,3,Description The social sciences provide various perspectives on how we view the behavior of
ROB 100,Introduction to Robotics,3,Description This course explores basic robotic concepts. Studies robots in typical application
ROB 103,Applied Robotics Lab I,4,Description In this course students will learn basic robotic applications and devices utilized in
ROB 104,Robotics Simulation,2,Description This course provides the student an introduction to robotic simulation using industry
ROB 106,Robotics Controller Maintenance,1,Description This course will provide the student with basic skills and techniques used in the
ROB 115,Introduction to Programming Robots in ROS,4,Description In this course students will become familiar with the basic programming languages
ROB 118,Basic Circuits,3,Description This course introduces direct current (DC) concepts and applications and the theory
ROB 120,IoT Fundamentals: Introduction to the Internet of Things,1,"Description In this course, students learn about Internet of Things and how it enables Digital"
ROB 124,Robotic Navigation,2,"Description In this course, students will learn how to properly navigate robots using ROS."
ROB 128,Basic PLC,3,"Description This course introduces operational theory, systems terminology, PLC installations,"
ROB 130,IoT Fundamentals: Connected Things,3,"Description This course will prepare students with the technical and soft skills needed to ideate,"
ROB 134,Robotic Perception and Manipulation,4,"Description In this course, students will learn and become competent in the concepts necessary"
ROB 138,Advanced PLC,3,"Description This course examines types, installation and troubleshooting of programmable logic"
ROB 140,IoT Fundamentals: Big Data Analytics,3,"Description This course will continue to expand your skills in all aspects of IoT, focusing mainly"
ROB 144,Machine Learning for Robotics,3,Description In this course students will utilize Machine Learning to get robots to recognize
ROB 145,Applied Robotics Lab II,2,Description In this course students will expand on their experiences from Applied Robotics Lab
ROB 148,PLC Systems Design and Simulation,3,Description This course provides a more advanced study of PLC's in manufacturing including
ROB 150,IoT Fundamentals: Security,3,"Description The explosive growth of connected IoT devices enables the digitization of industries,"
ROB 155,Advanced Industrial Workcell Programming,3,Description This course explores the fundamentals of work-cell integration and programming.
ROB 170,Robotics Internship,3,Description The internship represents an educational strategy linking the classroom with the acquisition
ROB 172,Robotics Capstone,3,"Description In this project-based course, students will apply the skills and knowledge acquired throughout the Digital"
REL 101,New Testament,3,"Description This course is an introduction to history, literature and culture that gave rise to the"
REL 130,World Religions,3,"Description This course provides students an overview of the major world religions, prepares"
SAF 101,Safety Orientation/OSHA 10,1,Description This course provides a fundamental understanding of OSHA Safety for the
SAF 110,OSHA 510,2,"Description This course covers OSHA standards, policies, and procedures in the construction"
SAF 130,OSHA 503 Update for General Industry Trainers,1,Description This course is designed for Outreach Training Program trainers who have completed
SGT 101,Introduction to Surgical Technology,4,"Description This course introduces the role and functions of proper documentation, post and preoperative case management, professional and self-management, professionalism,"
SGT 107,Pharmacology for Surgical Technology,3,"Description This course will provide general pharmacologic information, including how"
SGT 115,Surgical Procedures I,5,Description Coordinates study of theoretical and practical applications of various surgical
SGT 119,Surgical Technology - Clinical Experience I,6,Description Coordinates study of theoretical and practical applications of various surgical
SGT 120,Principles and Practices in Surgical Technology,5,Description Presents concepts necessary to prepare students for clinical experience. Aseptic
SGT 125,Surgical Procedures II,5,Description Coordinates study of theoretical and practical applications of various surgical
SGT 129,Surgical Technology - Clinical Experience II,7,"Description Students are assigned to supervised, non-remunerative clinical practice in hospital"
SGT 140,Principles and Practices in Surgical Technology Lab,3,Description Students will demonstrate concepts necessary to prepare students for clinical
SGT 145,ST Certification Review,1,Description This course provides a comprehensive review of surgical technology concepts and
SMA 120,Sheetmetal Apprenticeship,46,Description Students in this course will complete the course work and OJT required by the Joint
SOC 101,Principles of Sociology,3,Description An introductory study of human society to acquaint students with the influence and
SOC 115,Social Problems,3,"Description This course will examine the major problems of contemporary society, the social"
SPH 101,Public Speaking,3,Description Covers fundamental basics to all good private and public speaking experiences and
SPH 111,Interpersonal Communication,3,Description Improves individual communication skills. By understanding the elements of effective
TAS 121,Engine Repair,4,Description This course contains competencies that can be used in their entirety within a single
TAS 124,Electrical I,3,Description In this course students will: Complete service work orders; describe the relationship
TAS 125,Electrical II,5,Description In this course students will: Perform battery diagnosis; perform battery service;
TAS 126,Manual Transmission/Transaxle & Drive Train,4,Description This course contains competencies that can be used in their entirety within a single
TAS 127,Automatic Transmission Repair,4,Description This course contains competencies that can be used in their entirety within a single
TAS 128,Heating & Air Conditioning,4,Description This course contains competencies that can be used in their entirety within a single
TAS 131,Engine Performance I,3,Description In this learning plan students will: complete work order and check history; identify
TAS 132,Engine Performance II,3,Description This course contains competencies that can be used in their entirety within a single
TAS 133,Brakes I,3,Description This course is a thorough and detailed study of brake system theory and functional
TAS 134,Brakes II,1,Description In this course students will: Determine necessary brake system correction; Conduct
TAS 135,Computer Systems,3,Description In this course students will: Perform automotive computer system diagnosis; perform
TAS 136,Suspension and Steering I,3,Description In this course students will: document fundamental suspension system concerns;
TAS 137,Suspension and Steering II,2,"Description In this, course students will: gain knowledge in the use of alignment geometry and"
TAS 140,Diesel Engine Repair,4,Description This course will introduce students to the theory and operation of a diesel internal
TAS 142,Diesel Engine Performance,5,"Description This course will introduce students to diesel engine mechanical integrity, diesel fuel"
TAS 145,Automotive Service Internship,3,Description The internship represents an educational strategy linking the classroom with the
TAS 150,O.E.M. Certification,2,"Description This course is an online, self-paced course to allow students to acquire O.E.M."
TAS 155,Hydraulic Systems & Repair,2,"Description This course will introduce students to hydraulic theory, systems, and repair. Students"
TFF 110,Tap and Die,1,Description This course provides knowledge and technical skills on taps and dies. Topics include
TFF 115,Hand and Power Tools for Aerospace Tooling,1,Description This course provides technical knowledge on hand power tools used by a toolmaker
TFF 120,Metrology,4,"Description Students will learn the proper operation, field verification, and measuring techniques"
TFF 125,Tooling Capstone,4,Description This course provides the specific technical knowledge and skills necessary to utilize
TFF 135,Direct & Alternating Current,4,Description This course introduces direct current (DC) concepts and applications and the theory
TFF 150,Fixture Construction,5,"Description In this course, students will have the opportunity to link classroom/lab theory with an"
TFF 155,Tooling and Fixture Fabrication Capstone,5,"Description In this project-based course, students will apply the skills and knowledge acquired throughout the Tooling"
THR 100,Theatre Appreciation,3,"Description Upon completion of this class, the student will know the origin of theater, as well as"
UAS 105,Fundamentals of Drone Technology,2,Description This course will provide an introduction into the world of Unmanned Aerial Vehicles
UAS 110,AC/DC,4,Description This course introduces direct current (DC) concepts and applications and the theory
UAS 115,Ground School,3,Description The course will enable the student to demonstrate the knowledge required by CFR
UAS 120,Communication/Navigation,3,Description The course provides an understanding of the capabilities and limitations of UAS
UAS 125,GIS I,3,"Description In this course, students will gain understanding of GIS concepts with vector and"
UAS 130,MultiRotor I,3,Description The course objective is to understand how unmanned aircraft are used to
UAS 135,Flight Planning,2,"Description In this course, students will practice planning and executing several case studies"
UAS 140,MultiRotor II,3,Description The course objective is to understand the limits and skills employed by professional
UAS 145,GIS II,3,Description This course continues developing students' skills using GIS but focuses more on the
UAS 150,Photogrammetry,3,Description Understand the fundamentals of digital photogrammetry. Be able to relate ground
UAS 155,Sensor Packages,4,"Description This course gives students a more in-depth look into the theory, operation, and"
UAS 160,Design and Programming,4,Description The mission influences the design of any UAS system it is to complete. To correctly
UAS 165,FixedWing UAS Flight,3,"Description In this course, students learn how fixed-wing, unmanned aircraft accomplish various"
UAS 173,UAS Capstone,4,"Description In this project-based course, students will apply the skills and knowledge acquired"
UAS 175,UAS Internship,4,Description The internship represents an educational strategy linking the classroom with the
VET 103,Introduction to Veterinary Nursing Part 2,2,Description Intro to Veterinary Nursing: This course is designed for students who have
VET 101,Introduction to Veterinary Nursing,3,"Description This course will introduce learners to the field of veterinary medicine, focusing on the"
VET 102,Introduction to Veterinary Assisting/Animal Science,1,Description This course will introduce learners to the field of veterinary medicine and animal
VET 105,Veterinary Business Procedures/Office Management,2,Description This course will introduce learners to the expectations of veterinary nurses including:
VET 106,Veterinary Practice Management,1,Description This course will introduce learners to the management of a veterinary clinical setting.
VET 107,Veterinary Business Procedures/Office Management Part 2,1,Description This course is designed for students who have completed VET 106 Veterinary
VET 110,Veterinary Anatomy and Physiology,4,"Description This course will introduce veterinary medical terminology, including prefix, suffix, root"
VET 115,Veterinary Clinical Pathology I,3,Description This course is the first of a three course series and will introduce basic pathological
VET 116,Laboratory and Diagnostic Skills,1,Description This course will expose the learner to basic veterinary laboratory techniques
VET 117,Veterinary Clinical Pathology I Part 2,2,Description This course is designed for students who have completed VET 116 Laboratory and
VET 120,Veterinary Nursing Procedures I,3,"Description This course is the first of a two course series and will explore animal nutrition, patient"
VET 121,Veterinary Assisting I,1,"Description This course is the first of a two course series and will explore veterinary anatomy,"
VET 122,Veterinary Nursing Procedures I Part 2,2,Description This course is designed for students who have completed VET 121Veterinary
VET 130,"Veterinary Emergency, Critical Medicine and Hospital Procedures",2,Description This course will cover emergency and critical care nursing skills and hospital
VET 140,Veterinary Pharmacology,2,"Description This course will explore pharmacological principles, including pharmacokinetics drug classes,"
VET 117,Veterinary Clinical Pathology I Part 2,,Prerequisite MTH 101 Intermediate Algebra
VET 141,Veterinary Assisting II,1,Description This course is the second in a two course series and will continue to explore and
VET 142,Veterinary Pharmacology Part 2,1,Description This course is designed for students who have completed VET 141 Veterinary Assisting II
VET 215,Veterinary Clinical Pathology II,3,Description This course is the second of a three course series and will continue to build upon
VET 220,Veterinary Nursing Procedures II,2,Description This course is the second of a two course series and will continue to explore and
VET 230,Veterinary Diagnostic Imaging with Lab,3,"Description Covers the physics of x-ray photon production, radiation safety, quality control measures,"
VET 240,Veterinary Anesthesia and Surgical Assisting,3,Description This course will explore the principles and practices of veterinary anesthesia and surgical
VET 250,Veterinary Nursing: Large Animal Disease and Medical Care,2,"Description This course will explore common large animal breeds (ruminant, equine, swine, and"
VET 260,Veterinary Clinical Pathology III,3,Description This course is the third of a three course series and will bring together knowledge of
VET 265,"Veterinary Nursing Procedures: Avian, Exotic and Lab Animals Disease and Medical Care",2,Description Introduces basic techniques necessary for the provision of nursing care to small
VET 270,Veterinary Nursing Seminar,1,Description This course will serve to reinforce knowledge and concepts covered in the other
VET 275,Veterinary Clinical Practicum,6,Description This course provides hands-on experience working with actual animal cases in a
